Date,Time,Pressure Main,Pressure Autocalve 1,Pressure Autocalve 2,Pressure Autocalve 3,Pressure Autocalve 4,Pressure Autocalve 5,Pressure Autocalve 6,Pressure Autocalve 7,Pressure Autocalve 8,Temperature Autocalve 1,Temperature Autocalve 2,Temperature Autocalve 3,Temperature Autocalve 4,Temperature Autocalve 5,Temperature Autocalve 6,Temperature Autocalve 7,Temperature Autocalve 8,Vacuum pump,% Valve Live,% Valve Overflow,% Valve Waste,Main Meter steam flow,Main Meter steam ton
1/8/2026,00:00:14,12.81829,5.02257,12.03704,12.2066,12.32176,12.19155,3.364005,-0.4386574,0.2164352,153.5373,186.4149,188.9648,185.9592,185.6011,139.7461,75.69444,161.2847,1,21.44191,-1.182726,99.74682,5.020522,8670.692
1/8/2026,00:01:14,13.05158,5.024305,12.03125,12.20428,12.31597,12.18981,3.530093,-0.4965278,0.2002314,153.3746,186.4692,188.9757,185.9809,185.536,140.7769,75.97656,160.9375,1,21.44564,-1.182726,99.74682,5.085349,8670.777
1/8/2026,00:02:14,12.94849,5.024305,12.02894,12.21644,12.32639,12.19271,3.694445,-0.5289352,0.1863426,153.418,186.5126,188.9974,186.0134,185.6337,142.4371,75.59679,160.6011,1,21.04615,-1.182726,99.74682,4.8729,8670.859
1/8/2026,00:03:14,12.98286,5.025463,12.02257,12.20949,12.32292,12.19097,3.858796,-0.5746528,0.1747686,153.2986,186.3064,189.1167,186.0243,185.612,143.7825,75.19531,160.2973,1,21.04615,-1.186343,99.74682,4.898569,8670.941
1/8/2026,00:04:14,12.83637,5.024884,12.02026,12.20081,12.31308,12.18634,4.043982,-0.5943287,0.1608796,153.3746,186.2847,188.9757,186.046,185.5903,145.1063,74.70703,159.9609,1,22.23716,-1.182726,99.74682,5.2016,8671.024
1/8/2026,00:05:14,12.9078,5.023727,12.01447,12.19849,12.30613,12.18345,4.233796,-0.6145834,0.1510416,153.2661,186.48,189.0517,185.9592,185.5903,146.7882,74.71788,159.6354,1,22.23716,-1.186343,99.74682,5.250731,8671.111
1/8/2026,00:06:14,12.35171,5.021412,12.00868,12.1956,12.30382,12.17882,4.457176,-0.6267361,0.1394676,153.2335,186.3607,189.0408,186.0243,185.5794,148.3615,74.04514,159.2882,1,26.5905,-1.182726,99.74682,6.544416,8671.202
1/8/2026,00:07:14,12.50904,5.020255,12.00579,12.19097,12.29803,12.17651,4.730903,-0.6440972,0.1296296,153.3637,186.3281,188.9323,186.0134,185.4709,150.0434,74.31641,158.9627,1,26.5905,-1.186343,99.74682,6.739228,8671.313
1/8/2026,00:08:14,12.21698,5.017361,11.99711,12.17245,12.28414,12.1684,5.034143,-0.6556713,0.1221064,153.2878,186.2305,188.9974,185.9049,185.3516,151.6602,74.06684,158.6372,1,31.2052,-1.186343,99.74682,7.592175,8671.428
1/8/2026,00:09:14,12.06416,5.01331,11.99132,12.16782,12.27894,12.16435,5.394676,-0.662037,0.1145834,153.1793,186.3281,188.8997,185.8941,185.3407,153.5807,73.99088,158.3333,1,31.2052,-1.186343,99.74682,8.053868,8671.561
1/8/2026,00:10:14,12.24953,5.013889,11.98785,12.16493,12.27546,12.15972,5.775463,-0.677662,0.1087962,153.1901,186.2413,189.0408,185.9158,185.319,155.74,74.00173,158.0404,1,31.2052,-1.186343,99.7432,8.145005,8671.695
1/8/2026,00:11:14,11.6654,5.011574,11.98785,12.18576,12.29745,12.16667,6.232639,-0.6892361,0.1024306,153.2661,186.2413,189.1385,185.9809,185.536,158.2357,74.03429,157.7257,1,36.21939,-1.186343,99.7432,9.223247,8671.847
1/8/2026,00:12:14,11.87699,5.007523,11.98032,12.18113,12.29051,12.16377,6.70081,-0.6869213,0.1001158,153.4614,186.2522,189.0408,186.0134,185.536,160.4384,73.49175,157.4653,1,36.21939,-1.18996,99.74682,9.248493,8672
1/8/2026,00:13:14,11.41945,5.000579,11.96933,12.1522,12.26215,12.14873,7.226274,-0.6869213,0.1001158,153.1467,186.1762,189.0191,185.9809,185.2648,162.3372,73.81728,157.1615,1,41.76001,-1.18996,99.75043,9.950173,8672.163
1/8/2026,00:14:14,11.62833,4.998843,11.96412,12.14352,12.25984,12.14526,7.760417,-0.6857639,9.780097E-02,153.0382,186.1654,189.0517,185.9049,185.2431,164.7027,73.55686,156.9336,1,41.75627,-1.18996,99.74682,9.820576,8672.327
1/8/2026,00:15:14,12.50543,4.993055,11.9566,12.1412,12.25463,12.14063,8.23206,-0.6857639,0.0949074,153.125,186.0894,188.9323,185.9267,185.2214,167.1007,72.89497,156.6623,1,32.91891,-1.186343,99.75043,8.072129,8672.478
1/8/2026,00:16:14,12.36979,4.987847,11.95255,12.14178,12.24884,12.13715,8.662616,-0.6909722,9.201384E-02,153.0708,186.1979,189.0082,185.8941,185.2105,169.4227,72.22222,156.3694,1,32.91517,-1.186343,99.74682,7.632679,8672.608
1/8/2026,00:17:14,11.67716,4.985532,11.94618,12.13021,12.2419,12.13021,9.135417,-0.697338,8.912039E-02,153.0599,186.1762,189.1059,185.8615,185.1671,171.2891,71.66884,156.0981,1,43.2049,-1.18996,99.75043,8.798485,8672.74
1/8/2026,00:18:14,12.00087,4.980324,11.9375,12.12789,12.23727,12.12789,9.658565,-0.6950232,8.738422E-02,152.908,186.1111,189.0517,185.8833,185.1671,173.4375,71.69054,155.8268,1,43.20863,-1.186343,99.75043,8.783768,8672.887
1/8/2026,00:19:14,12.10938,4.974537,11.93287,12.12384,12.23322,12.12326,10.17188,-0.6927084,8.449078E-02,152.9188,186.0786,188.9866,185.8507,185.1454,175.5425,71.35416,155.5664,1,43.20863,-1.18996,99.75043,8.236616,8673.029
1/8/2026,00:20:14,12.21426,4.971643,11.92708,12.11806,12.22974,12.12211,10.65567,-0.6984954,8.275461E-02,152.8103,186.1003,188.9866,185.8615,185.102,177.5282,71.15885,155.2626,1,43.20863,-1.18996,99.75043,7.643006,8673.162
1/8/2026,00:21:14,12.26942,4.965857,11.92014,12.11632,12.22627,12.11921,11.09606,-0.697338,0.078125,152.8429,186.1111,189.0082,185.8615,185.0803,179.5898,71.148,155.013,1,43.20863,-1.18996,99.75043,6.973532,8673.284
1/8/2026,00:22:14,12.3707,4.961805,11.91435,12.11343,12.22164,12.11458,11.49769,-0.7019676,7.638884E-02,152.8646,185.9918,188.9974,185.8833,185.0586,181.25,71.31077,154.72,1,43.2049,-1.18996,99.75043,6.382502,8673.396
1/8/2026,00:23:14,12.45841,4.957176,11.90914,12.11053,12.21875,12.11227,11.85359,-0.7037037,7.465279E-02,152.7235,186.0134,188.9866,185.8833,185.0152,182.7583,71.58203,154.4813,1,43.2049,-1.18996,99.75043,5.75714,8673.496
1/8/2026,00:24:14,12.78935,4.95081,11.90394,12.12905,12.2338,12.11921,12.12095,-0.7065972,7.233799E-02,152.9948,186.1328,189.1276,186.0677,185.3516,184.5052,71.78819,154.2209,1,33.57228,-1.186343,99.75043,4.556695,8673.577
1/8/2026,00:25:14,12.75228,4.94618,11.89815,12.12616,12.23148,12.11574,12.34838,-0.7065972,7.060182E-02,152.7995,186.0243,189.1167,185.9809,185.3299,185.4492,72.43924,153.9388,1,33.57228,-1.18996,99.75405,3.974513,8673.649
